Starting "SYS"."SYS_EXPORT_TABLE_01":  
Estimate in progress using BLOCKS method...
Processing object type TABLE_EXPORT/TABLE/TABLE_DATA
Total estimation using BLOCKS method: 1.228 GB
Processing object type TABLE_EXPORT/TABLE/TABLE
     Completed 120 TABLE objects in 7 seconds
Processing object type TABLE_EXPORT/TABLE/CONSTRAINT/CONSTRAINT
     Completed 113 CONSTRAINT objects in 1 seconds
Processing object type TABLE_EXPORT/TABLE/CONSTRAINT/REF_CONSTRAINT
     Completed 1 REF_CONSTRAINT objects in 0 seconds
. . exported "SYS"."WRH$_SYSMETRIC_HISTORY"              476.7 KB    8960 rows
. . exported "SYS"."WRH$_OSSTAT":"WRH$_OSSTAT_3430975138_1021"  39.59 KB    1280 rows
. . exported "SYS"."WRH$_OSSTAT":"WRH$_OSSTAT_3430975138_828"  6.593 KB       0 rows
. . exported "SYS"."WRH$_OSSTAT":"WRH$_OSSTAT_3430975138_852"  6.593 KB       0 rows
. . exported "SYS"."WRH$_OSSTAT":"WRH$_OSSTAT_3430975138_895"  6.593 KB       0 rows
. . exported "SYS"."WRH$_OSSTAT":"WRH$_OSSTAT_3430975138_926"  6.593 KB       0 rows
. . exported "SYS"."WRH$_OSSTAT":"WRH$_OSSTAT_3430975138_950"  6.593 KB       0 rows
. . exported "SYS"."WRH$_OSSTAT":"WRH$_OSSTAT_3430975138_974"  6.593 KB       0 rows
. . exported "SYS"."WRH$_OSSTAT":"WRH$_OSSTAT_3430975138_997"  6.593 KB       0 rows
. . exported "SYS"."WRH$_ROWCACHE_SUMMARY":"WRH$_ROWCAC_3430975138_997"  11.02 KB       0 rows
. . exported "SYS"."WRH$_RSRC_CONSUMER_GROUP"            18.92 KB       0 rows
. . exported "SYS"."WRH$_RSRC_PLAN"                      8.195 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_WAIT_CLASS":"WRH$_SERVIC_3430975138_828"  7.820 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_WAIT_CLASS":"WRH$_SERVIC_3430975138_852"  7.820 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_WAIT_CLASS":"WRH$_SERVIC_3430975138_895"  7.820 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_WAIT_CLASS":"WRH$_SERVIC_3430975138_926"  7.820 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_WAIT_CLASS":"WRH$_SERVIC_3430975138_950"  7.820 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_WAIT_CLASS":"WRH$_SERVIC_3430975138_974"  7.820 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_WAIT_CLASS":"WRH$_SERVIC_3430975138_997"  7.820 KB       0 rows
. . exported "SYS"."WRH$_SGASTAT":"WRH$_SGASTA_3430975138_1021"  74.87 KB    1446 rows
. . exported "SYS"."WRH$_SGASTAT":"WRH$_SGASTA_3430975138_828"  6.992 KB       0 rows
. . exported "SYS"."WRH$_SGASTAT":"WRH$_SGASTA_3430975138_852"  6.992 KB       0 rows
. . exported "SYS"."WRH$_SGASTAT":"WRH$_SGASTA_3430975138_895"  6.992 KB       0 rows
. . exported "SYS"."WRH$_SGASTAT":"WRH$_SGASTA_3430975138_926"  6.992 KB       0 rows
. . exported "SYS"."WRH$_SGASTAT":"WRH$_SGASTA_3430975138_950"  6.992 KB       0 rows
. . exported "SYS"."WRH$_SGASTAT":"WRH$_SGASTA_3430975138_974"  6.992 KB       0 rows
. . exported "SYS"."WRH$_SGASTAT":"WRH$_SGASTA_3430975138_997"  6.992 KB       0 rows
